date,Arizona,Utah
2017-01-01,53.0,83.5
2017-01-02,39.0,39.0
2017-01-03,44.0,45.0
2017-01-04,56.0,41.0
2017-01-05,45.0,37.0
2017-01-06,34.0,59.0
2017-01-07,38.0,70.66666666666667
2017-01-08,32.0,47.5
2017-01-09,47.0,53.0
2017-01-10,48.0,38.0
2017-01-11,47.0,37.0
2017-01-12,43.0,38.0
2017-01-13,48.0,79.0
2017-01-14,54.0,76.0
2017-01-15,33.0,69.0
2017-01-16,36.0,70.0
2017-01-17,55.0,67.0
2017-01-18,54.0,64.0
2017-01-19,51.0,41.0
2017-01-20,41.0,40.0
2017-01-21,44.0,35.0
2017-01-22,39.0,40.0
2017-01-23,37.0,46.0
2017-01-24,44.0,47.0
2017-01-25,36.0,41.66666666666666
2017-01-26,43.0,55.0
2017-01-27,42.0,69.0
2017-01-28,41.0,75.5
2017-01-29,44.0,110.66666666666669
2017-01-30,44.0,133.66666666666666
2017-01-31,50.0,155.0
2017-02-01,43.0,161.0
2017-02-02,47.0,58.0
2017-02-03,40.0,42.0
2017-02-04,50.0,39.0
2017-02-05,37.0,41.0
2017-02-06,43.0,40.0
2017-02-07,44.0,35.5
2017-02-08,60.0,38.0
2017-02-09,46.0,28.0
2017-02-10,51.0,39.0
2017-02-11,39.0,38.0
2017-02-12,35.0,41.0
2017-02-13,40.0,50.5
2017-02-14,42.0,60.0
2017-02-15,45.0,55.5
2017-02-16,43.0,54.0
2017-02-17,43.0,35.0
2017-02-18,46.0,38.0
2017-02-19,39.5,33.0
2017-02-20,44.0,35.0
2017-02-21,44.0,44.0
2017-02-22,43.0,47.0
2017-02-23,46.0,41.0
2017-02-24,42.0,43.0
2017-02-25,46.0,49.0
2017-02-26,46.0,48.0
2017-02-27,36.0,46.5
2017-02-28,42.0,44.0
2017-03-01,41.0,44.0
2017-03-02,44.0,50.0
2017-03-03,41.0,44.0
2017-03-04,45.0,45.0
2017-03-05,36.0,54.0
2017-03-06,44.0,41.0
2017-03-07,45.0,45.0
2017-03-08,44.0,51.0
2017-03-09,51.0,37.0
2017-03-10,71.0,32.0
2017-03-11,54.0,40.0
2017-03-12,58.0,44.0
2017-03-13,71.0,42.0
2017-03-14,74.0,40.0
2017-03-15,51.0,44.0
2017-03-16,67.0,45.0
2017-03-17,71.0,54.0
2017-03-18,58.0,50.0
2017-03-19,80.0,48.0
2017-03-20,87.0,43.0
2017-03-21,45.0,41.0
2017-03-22,44.0,44.0
2017-03-23,47.0,38.5
2017-03-24,50.0,45.0
2017-03-25,61.0,39.0
2017-03-26,64.0,48.0
2017-03-27,54.0,38.0
2017-03-28,44.0,41.0
