"playerID","total_hits","total_hr","total_rbi","total_sb","firstName","lastName"
"aaronha01",3771,755,2297,240,"Hank","Aaron"
"abbated01",772,11,324,142,"Ed","Abbaticchio"
"abbotku01",523,62,242,22,"Kurt","Abbott"
"abreubo01",2470,288,1363,400,"Bobby","Abreu"
"abreujo02",1038,179,611,10,"Jose","Abreu"
"ackledu01",512,46,216,31,"Dustin","Ackley"
"adairje01",1022,57,366,29,"Jerry","Adair"
"adamsbo03",1082,37,303,67,"Bobby","Adams"
"adamsbu01",532,50,249,12,"Buster","Adams"
"adamsma01",609,116,388,4,"Matt","Adams"
"adamssp01",1588,9,394,154,"Sparky","Adams"
"adcocjo01",1832,336,1122,20,"Joe","Adcock"
"ageeto01",999,130,433,167,"Tommie","Agee"
"aikenwi01",675,110,415,3,"Willie","Aikens"
"ainsmed01",707,22,317,86,"Eddie","Ainsmith"
"aldremi01",565,41,271,19,"Mike","Aldrete"
"alexada01",811,61,459,20,"Dale","Alexander"
"alfoned01",1532,146,744,53,"Edgardo","Alfonzo"
"alicelu01",1031,47,422,81,"Luis","Alicea"
"allenbe01",815,73,352,13,"Bernie","Allen"
"allenbo01",534,14,306,53,"Bob","Allen"
"allendi01",1848,351,1119,133,"Dick","Allen"
"allenet01",1325,47,501,84,"Ethan","Allen"
"alleyge01",999,55,342,63,"Gene","Alley"
"allisbo01",1281,256,796,84,"Bob","Allison"
"almadme01",706,15,197,56,"Mel","Almada"
"almonbi01",846,36,296,128,"Bill","Almon"
"alomaro01",2724,210,1134,474,"Roberto","Alomar"
"alomasa01",1168,13,282,227,"Sandy","Alomar"
"alomasa02",1236,112,588,25,"Sandy","Alomar"
"alonsyo01",872,100,426,22,"Yonder","Alonso"
"aloufe01",2101,206,852,107,"Felipe","Alou"
"alouje01",1216,32,377,31,"Jesus","Alou"
"alouma01",1777,31,427,156,"Matty","Alou"
"aloumo01",2134,332,1287,106,"Moises","Alou"
"altmage01",832,101,403,52,"George","Altman"
"altuvjo01",1568,128,538,254,"Jose","Altuve"
"alvarpe01",704,162,472,15,"Pedro","Alvarez"
"alvisma01",895,111,373,43,"Max","Alvis"
"amaroru01",505,8,156,11,"Ruben","Amaro"
"anderbr01",1661,210,761,315,"Brady","Anderson"
"anderga01",2529,287,1365,80,"Garret","Anderson"
"anderjo01",1843,50,978,338,"John","Anderson"
"anderma02",849,63,371,71,"Marlon","Anderson"
"anderti01",570,64,206,68,"Tim","Anderson"
"andremi01",803,66,316,18,"Mike","Andrews"
"andruel01",1723,73,629,302,"Elvis","Andrus"
