ID,MP,PTS,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV
Michael Hall-2005,33.8,13.9,0.4,0.34,0.448,0.475,0.779,3.5,2.0,1.6,0.3,1.8
Austin Ainge-2005,27.7,9.5,0.429,0.345,0.513,0.515,0.788,2.9,4.1,1.1,0.0,3.2
Jared Jensen-2005,22.5,8.5,0.55,0.0,0.55,0.55,0.833,4.1,0.5,0.6,0.2,1.4
Mike Rose-2005,19.3,7.7,0.425,0.406,0.488,0.58,0.656,1.7,1.0,0.4,0.0,1.1
Keena Young-2005,22.2,7.2,0.497,0.0,0.507,0.497,0.608,5.6,0.7,0.6,0.7,0.9
Jimmy Balderson-2005,18.3,6.7,0.397,0.42,0.364,0.522,0.619,2.3,0.8,0.4,0.1,1.5
Derek Dawes-2005,17.3,4.9,0.432,0.0,0.432,0.432,0.662,4.6,0.4,0.2,0.9,1.3
Garner Meads-2005,17.3,4.4,0.392,0.0,0.397,0.392,0.7,4.3,0.5,0.4,0.4,1.3
Chris Miles-2005,13.6,2.7,0.358,0.0,0.358,0.358,0.708,2.3,0.7,0.2,1.1,0.7
Brock Reichner-2005,11.2,2.3,0.4,0.5,0.308,0.52,0.4,1.4,0.6,0.5,0.0,0.5
Sam Burgess-2005,8.0,2.1,0.271,0.303,0.243,0.343,0.818,0.9,0.4,0.4,0.1,0.8
Terry Nashif-2005,11.6,2.0,0.284,0.268,0.308,0.366,0.75,1.2,1.7,0.4,0.1,1.2
Trent Plaisted-2006,28.2,13.6,0.522,0.0,0.522,0.522,0.616,6.9,1.0,0.4,0.9,2.4
Brock Reichner-2006,26.4,10.4,0.459,0.482,0.435,0.58,0.766,2.5,2.5,0.8,0.2,1.5
Keena Young-2006,23.4,10.3,0.523,0.0,0.526,0.523,0.777,5.8,1.1,0.6,0.4,1.5
Jimmy Balderson-2006,21.9,10.2,0.471,0.372,0.542,0.549,0.798,3.3,1.5,0.9,0.1,1.2
Rashaun Broadus-2006,27.6,9.0,0.393,0.351,0.425,0.469,0.642,2.8,3.7,1.3,0.0,2.7
Fernando Malaman-2006,21.6,7.0,0.525,0.429,0.558,0.58,0.696,3.7,0.8,0.8,1.0,1.2
