country,region,sub-region,iso_alpha,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia
Afghanistan,Asia,Southern Asia,AFG,1.648,0.6406666666666667,0.0,0.16133333333333333,0.0,0.08633333333333333,0.09400000000000001,0.6653333333333333
Albania,Europe,Southern Europe,ALB,5.330666666666667,1.4193333333333333,0.999,0.6046666666666667,0.6933333333333334,0.12466666666666666,0.04766666666666667,1.442
Algeria,Africa,Northern Africa,DZA,5.421333333333333,1.3306666666666667,1.284,0.5863333333333333,0.3403333333333333,0.07366666666666667,0.19033333333333333,1.6156666666666666
Argentina,Americas,Latin America and the Caribbean,ARG,6.203,1.5520000000000003,1.4636666666666667,0.5303333333333333,0.6973333333333334,0.07433333333333332,0.08166666666666667,1.803
Armenia,Asia,Western Asia,ARM,5.4303333333333335,1.4336666666666666,1.2123333333333333,0.6246666666666666,0.6623333333333333,0.04533333333333334,0.16366666666666665,1.2876666666666667
Australia,Oceania,Australia and New Zealand,AUS,7.042000000000001,1.8399999999999999,1.5350000000000001,0.6883333333333334,0.7633333333333333,0.21033333333333334,0.306,1.6986666666666668
Austria,Europe,Western Europe,AUT,6.937333333333334,1.8676666666666666,1.4366666666666668,0.6816666666666666,0.7296666666666667,0.19466666666666665,0.29833333333333334,1.729
Azerbaijan,Asia,Western Asia,AZE,4.884,1.4304999999999999,0.9530000000000001,0.6014999999999999,0.7265,0.094,0.189,0.8900000000000001
Bahrain,Asia,Western Asia,BHR,6.1015,1.8175,1.33,0.499,0.8275,0.1735,0.15250000000000002,1.3014999999999999
Bangladesh,Asia,Southern Asia,BGD,4.006333333333333,1.1236666666666668,0.34933333333333333,0.48666666666666664,0.7706666666666667,0.12966666666666668,0.15466666666666667,0.9916666666666667
Belgium,Europe,Western Europe,BEL,6.887666666666667,1.8526666666666667,1.5116666666666667,0.69,0.738,0.14200000000000002,0.2966666666666667,1.657
Belize,Americas,Latin America and the Caribbean,BLZ,6.711,1.256,1.54,0.525,1.018,0.072,0.082,2.218
Benin,Africa,Sub-Saharan Africa,BEN,4.3693333333333335,0.8976666666666667,0.19933333333333333,0.25499999999999995,0.5756666666666667,0.106,0.24766666666666667,2.0883333333333334
Bolivia,Americas,Latin America and the Caribbean,BOL,5.778666666666666,1.21,1.2406666666666668,0.38766666666666666,0.7280000000000001,0.09000000000000001,0.057666666666666665,2.065
Bosnia and Herzegovina,Europe,Southern Europe,BIH,5.882000000000001,1.4456666666666667,1.4080000000000001,0.5439999999999999,0.6183333333333333,0.22366666666666668,0.005666666666666667,1.6366666666666667
Botswana,Africa,Sub-Saharan Africa,BWA,3.4186666666666667,1.4346666666666668,1.0519999999999998,0.14066666666666666,0.5813333333333333,0.017666666666666667,0.07866666666666666,0.114
Brazil,Americas,Latin America and the Caribbean,BRA,6.297,1.425,1.346,0.4716666666666667,0.691,0.11666666666666665,0.13533333333333333,2.11
Bulgaria,Europe,Eastern Europe,BGR,5.4943333333333335,1.6123333333333332,1.5503333333333333,0.47933333333333333,0.6283333333333333,0.08133333333333333,0.006333333333333333,1.1353333333333333
Burkina Faso,Africa,Sub-Saharan Africa,BFA,4.523,0.7493333333333334,0.7756666666666666,0.22566666666666668,0.5243333333333333,0.16766666666666666,0.17,1.9110000000000003
Cambodia,Asia,South-eastern Asia,KHM,4.358333333333333,1.0283333333333333,1.086,0.40199999999999997,0.8729999999999999,0.16133333333333333,0.06666666666666667,0.742
Cameroon,Africa,Sub-Saharan Africa,CMR,4.911333333333332,0.9506666666666667,0.9043333333333333,0.236,0.5293333333333333,0.123,0.059666666666666666,2.1083333333333334
Canada,Americas,Northern America,CAN,6.888000000000001,1.8233333333333335,1.53,0.6913333333333332,0.733,0.20533333333333334,0.3516666666666666,1.5526666666666664
Chad,Africa,Sub-Saharan Africa,TCD,4.417333333333334,0.6056666666666667,0.8896666666666667,0.16133333333333333,0.427,0.21599999999999997,0.104,2.013333333333333
Chile,Americas,Latin America and the Caribbean,CHL,6.351666666666667,1.5993333333333333,1.4433333333333334,0.6316666666666667,0.6586666666666666,0.11366666666666665,0.07866666666666666,1.8256666666666668
China,Asia,Eastern Asia,CHN,5.904,1.484,1.265,0.6286666666666667,0.7113333333333333,0.10866666666666668,0.15433333333333332,1.5519999999999998
Colombia,Americas,Latin America and the Caribbean,COL,5.7763333333333335,1.4240000000000002,1.3223333333333334,0.5736666666666667,0.661,0.06366666666666666,0.05933333333333333,1.673
Comoros,Africa,Sub-Saharan Africa,COM,3.6216666666666666,0.8816666666666667,0.38533333333333336,0.3376666666666666,0.18299999999999997,0.12466666666666666,0.15633333333333332,1.5536666666666665
Costa Rica,Americas,Latin America and the Caribbean,CRI,6.946000000000001,1.5466666666666666,1.4376666666666669,0.6146666666666667,0.8093333333333333,0.09166666666666667,0.119,2.327666666666667
Cote dIvoire,Africa,Sub-Saharan Africa,CIV,5.078333333333333,1.0706666666666667,0.6406666666666666,0.20466666666666666,0.5583333333333333,0.11933333333333333,0.15233333333333335,2.332666666666667
Croatia,Europe,Southern Europe,HRV,5.979,1.6936666666666664,1.5243333333333335,0.5936666666666667,0.48233333333333334,0.057666666666666665,0.037,1.591
Cyprus,Asia,Western Asia,CYP,6.046666666666667,1.7793333333333334,1.2630000000000001,0.7213333333333333,0.532,0.11199999999999999,0.04666666666666667,1.5923333333333334
Czech Republic,Europe,Eastern Europe,CZE,6.814,1.766,1.5903333333333334,0.5910000000000001,0.7986666666666666,0.151,0.06733333333333334,1.8493333333333333
Democratic Republic of the Congo,Africa,Sub-Saharan Africa,COD,3.3236666666666665,0.5363333333333333,0.7926666666666667,0.215,0.48266666666666663,0.17433333333333334,0.067,1.0566666666666666
Denmark,Europe,Northern Europe,DNK,7.5633333333333335,1.8940000000000001,1.6053333333333333,0.6853333333333333,0.8373333333333334,0.18733333333333332,0.5203333333333333,1.8333333333333333
Dominican Republic,Americas,Latin America and the Caribbean,DOM,5.7459999999999996,1.5033333333333332,1.333,0.4923333333333333,0.7396666666666666,0.07733333333333332,0.19233333333333333,1.4083333333333332
Ecuador,Americas,Latin America and the Caribbean,ECU,5.749666666666666,1.319,1.2146666666666668,0.606,0.626,0.07466666666666667,0.07100000000000001,1.838
Egypt,Africa,Northern Africa,EGY,3.988,1.3646666666666667,1.0143333333333333,0.429,0.5166666666666667,0.027,0.204,0.433
El Salvador,Americas,Latin America and the Caribbean,SLV,6.361,1.255,1.1173333333333335,0.49700000000000005,0.828,0.072,0.24633333333333332,2.346
Estonia,Europe,Northern Europe,EST,6.44,1.7333333333333334,1.5896666666666668,0.5976666666666667,0.8116666666666666,0.149,0.38366666666666666,1.174
Ethiopia,Africa,Sub-Saharan Africa,ETH,3.9500000000000006,0.7806666666666667,1.0266666666666666,0.36199999999999993,0.47733333333333333,0.245,0.10066666666666668,0.9580000000000001
Finland,Europe,Northern Europe,FIN,7.760333333333333,1.827,1.6466666666666665,0.6846666666666666,0.8723333333333333,0.126,0.5276666666666667,2.0756666666666668
France,Europe,Western Europe,FRA,6.6209999999999996,1.8023333333333333,1.4386666666666665,0.7083333333333334,0.6583333333333333,0.09800000000000002,0.27166666666666667,1.6433333333333333
Gabon,Africa,Sub-Saharan Africa,GAB,5.087,1.409,1.0943333333333334,0.30466666666666664,0.5043333333333333,0.041,0.09599999999999999,1.6369999999999998
Gambia,Africa,Sub-Saharan Africa,GMB,4.395666666666667,0.763,0.7520000000000001,0.284,0.45199999999999996,0.3036666666666667,0.042,1.7996666666666663
