Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Bulbasaur,-0.9767654936687057,-0.9506262218221118,-0.9249061830568897,-0.7971536449711327,-0.23913030200278262,-0.2481885446599603,-0.8015031798028882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ivysaur,-0.2510884334080163,-0.3628220964103872,-0.5241302027314176,-0.34791741554189426,0.21955953559846322,0.29115635499949677,-0.2850152538210035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Venusaur,0.7498454428136243,0.42091673747191216,0.09244822853853919,0.2938486264998751,0.8311459857334578,1.0102828878787729,0.4036353141548428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
VenusaurMega Venusaur,1.5839570063316581,0.42091673747191216,0.6473688166815004,1.5773807105834137,1.5038910808819517,1.729409420758049,0.4036353141548428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Charmander,-1.0518355343853287,-1.1857478719868015,-0.8324194183663961,-0.9896834575836636,-0.39202691453653127,-0.7875334443194173,-0.11285261182704193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charmeleon,-0.2510884334080163,-0.4411959797986172,-0.462472359604422,-0.5083589260523366,0.21955953559846322,-0.2481885446599603,0.4036353141548428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charizard,0.8249154835302474,0.34254285408368224,0.1541060716655349,0.13340711598943278,1.1063598882942052,0.4709379882193158,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CharizardMega Charizard X,1.659027047048281,0.34254285408368224,1.5722364635864357,1.1923210853583521,1.7485256609359494,0.4709379882193158,1.0922858821306891,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CharizardMega Charizard Y,1.659027047048281,0.34254285408368224,0.7706845029354917,0.13340711598943278,2.6353260136316914,1.5496277875382298,1.0922858821306891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squirtle,-1.010129956209427,-0.9898131635162267,-0.9557351046203875,-0.2837408113377173,-0.6978201396040286,-0.2841448713039241,-0.8703682366004729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
