Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type,Wilderness_Area,Cover_Type
3194.0,124.0,13.0,713.0,89.0,2854.0,241.0,231.0,117.0,3063.0,T32,A3,2.0
3079.0,5.0,13.0,0.0,0.0,2842.0,202.0,213.0,147.0,2143.0,T23,A3,1.0
2978.0,24.0,11.0,134.0,16.0,4682.0,214.0,216.0,137.0,2482.0,T29,A1,1.0
3084.0,10.0,13.0,300.0,67.0,1398.0,206.0,214.0,145.0,2750.0,T31,A3,1.0
2644.0,339.0,12.0,150.0,22.0,618.0,195.0,223.0,167.0,1570.0,T29,A1,2.0
3038.0,351.0,10.0,60.0,13.0,1828.0,202.0,223.0,159.0,1370.0,T21,A3,1.0
3103.0,190.0,14.0,42.0,13.0,3171.0,219.0,250.0,161.0,5464.0,T30,A1,1.0
3062.0,99.0,7.0,150.0,15.0,4382.0,233.0,230.0,130.0,2514.0,T29,A1,2.0
3084.0,275.0,28.0,481.0,173.0,5479.0,135.0,233.0,232.0,997.0,T29,A1,2.0
3182.0,278.0,19.0,240.0,-36.0,3491.0,166.0,240.0,212.0,1454.0,T29,A1,1.0
3031.0,118.0,8.0,454.0,-2.0,6602.0,234.0,233.0,130.0,3553.0,T20,A1,1.0
3165.0,0.0,7.0,671.0,23.0,3434.0,210.0,227.0,155.0,3734.0,T29,A1,1.0
2935.0,283.0,3.0,0.0,0.0,1523.0,211.0,239.0,167.0,2255.0,T20,A3,1.0
3071.0,3.0,15.0,499.0,195.0,2041.0,198.0,210.0,148.0,2594.0,T24,A3,1.0
3286.0,171.0,32.0,360.0,83.0,2642.0,223.0,235.0,118.0,3064.0,,A1,2.0
2821.0,266.0,12.0,150.0,69.0,3529.0,190.0,245.0,194.0,5932.0,T29,A1,1.0
3188.0,30.0,16.0,564.0,170.0,4573.0,213.0,203.0,121.0,,T29,A1,1.0
2903.0,331.0,15.0,655.0,19.0,1273.0,183.0,220.0,175.0,1180.0,T32,,2.0
2986.0,215.0,11.0,0.0,0.0,1333.0,209.0,251.0,177.0,242.0,T23,A3,2.0
2784.0,232.0,27.0,242.0,158.0,713.0,166.0,252.0,212.0,1637.0,T13,A3,2.0
3152.0,25.0,25.0,633.0,-34.0,1907.0,199.0,177.0,104.0,1982.0,T33,A3,1.0
3224.0,58.0,3.0,300.0,91.0,2715.0,222.0,233.0,147.0,1215.0,T31,A3,2.0
3107.0,37.0,26.0,300.0,21.0,1082.0,208.0,172.0,86.0,1283.0,T22,A3,1.0
2927.0,125.0,10.0,60.0,0.0,4635.0,237.0,233.0,126.0,4260.0,T29,,1.0
2701.0,333.0,9.0,492.0,70.0,1243.0,200.0,229.0,168.0,1507.0,T12,A1,2.0
3156.0,257.0,9.0,120.0,,1158.0,200.0,246.0,185.0,495.0,T23,A3,1.0
2881.0,28.0,19.0,162.0,-11.0,371.0,209.0,195.0,116.0,600.0,T22,A3,2.0
2676.0,68.0,11.0,,21.0,1518.0,232.0,218.0,118.0,6054.0,T12,A1,2.0
3190.0,311.0,20.0,95.0,26.0,700.0,162.0,221.0,198.0,2466.0,T33,A2,1.0
3002.0,120.0,9.0,277.0,35.0,1321.0,236.0,232.0,127.0,1992.0,T19,A3,2.0
3188.0,280.0,4.0,350.0,28.0,4826.0,208.0,240.0,170.0,2431.0,T29,A1,2.0
2922.0,233.0,7.0,268.0,26.0,5733.0,208.0,247.0,176.0,5920.0,T16,A1,1.0
2555.0,58.0,14.0,285.0,19.0,1231.0,230.0,209.0,109.0,4159.0,T18,,2.0
3078.0,351.0,10.0,242.0,,2202.0,203.0,224.0,159.0,1595.0,T23,A1,1.0
2878.0,102.0,21.0,0.0,0.0,201.0,249.0,208.0,78.0,1148.0,T29,A1,1.0
2726.0,339.0,22.0,190.0,42.0,2423.0,166.0,201.0,170.0,,T29,A1,2.0
