YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2006,1,PRCP,0.3,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,2.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.5,0.0,2.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.2
2006,1,TMAX,32.0,44.0,45.0,27.0,47.0,43.0,34.0,25.0,35.0,34.0,28.0,36.0,26.0,29.0,27.0,35.0,46.0,42.0,38.0,28.0,31.0,27.0,34.0,42.0,34.0,30.0,47.0,57.0,48.0,30.0,33.0
2006,1,TMIN,21.0,20.0,24.0,14.0,16.0,29.0,9.0,4.0,10.0,20.0,10.0,26.0,8.0,10.0,6.0,5.0,18.0,26.0,24.0,15.0,11.0,20.0,21.0,24.0,20.0,17.0,17.0,33.0,30.0,11.0,8.0
2006,2,PRCP,0.2,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9999.0,0.0,9999.0,9999.0,0.1,0.0,0.1,0.0,0.1,0.0
2006,2,TMAX,33.0,27.0,31.0,43.0,37.0,36.0,32.0,20.0,28.0,22.0,26.0,31.0,24.0,24.0,29.0,37.0,41.0,47.0,49.0,52.0,42.0,9999.0,31.0,9999.0,9999.0,44.0,26.0,35.0,45.0,51.0,45.0
2006,2,TMIN,22.0,8.0,5.0,19.0,17.0,24.0,7.0,2.0,10.0,9.0,5.0,24.0,4.0,4.0,16.0,22.0,21.0,24.0,28.0,31.0,26.0,9999.0,21.0,9999.0,9999.0,19.0,9.0,7.0,23.0,25.0,19.0
2006,3,PRCP,0.2,0.2,0.0,0.2,0.1,0.2,0.1,0.0,0.3,0.2,0.8,0.0,0.2,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.5,1.6,0.0,0.1,0.1,0.2,0.0,0.0,0.3,0.1,0.2
2006,3,TMAX,38.0,28.0,27.0,29.0,31.0,39.0,32.0,41.0,42.0,44.0,32.0,46.0,36.0,39.0,42.0,48.0,50.0,52.0,34.0,48.0,42.0,42.0,47.0,40.0,46.0,35.0,48.0,43.0,32.0,39.0,31.0
2006,3,TMIN,20.0,8.0,9.0,10.0,10.0,9.0,15.0,16.0,26.0,26.0,17.0,26.0,16.0,21.0,18.0,19.0,27.0,26.0,18.0,17.0,30.0,25.0,27.0,24.0,24.0,19.0,21.0,30.0,22.0,16.0,11.0
2006,4,PRCP,0.6,0.0,0.4,0.1,0.0,0.3,0.3,0.2,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,9999.0,0.0,0.8,0.9,0.3,0.1,0.0
2006,4,TMAX,39.0,46.0,47.0,56.0,57.0,53.0,50.0,51.0,41.0,37.0,44.0,47.0,50.0,59.0,64.0,56.0,45.0,50.0,58.0,59.0,54.0,55.0,55.0,54.0,9999.0,49.0,45.0,30.0,49.0,52.0,55.0
2006,4,TMIN,20.0,30.0,29.0,35.0,42.0,33.0,33.0,35.0,21.0,17.0,18.0,18.0,24.0,33.0,40.0,35.0,30.0,32.0,35.0,37.0,37.0,34.0,31.0,38.0,9999.0,38.0,26.0,25.0,24.0,31.0,37.0
2006,5,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0
2006,5,TMAX,56.0,50.0,60.0,65.0,67.0,69.0,68.0,69.0,70.0,70.0,68.0,54.0,68.0,68.0,63.0,57.0,65.0,70.0,69.0,56.0,39.0,50.0,57.0,54.0,62.0,53.0,49.0,54.0,56.0,49.0,47.0
2006,5,TMIN,35.0,31.0,33.0,44.0,46.0,46.0,46.0,49.0,49.0,51.0,48.0,39.0,51.0,50.0,40.0,38.0,41.0,47.0,50.0,29.0,29.0,27.0,35.0,33.0,36.0,33.0,32.0,33.0,35.0,37.0,31.0
2006,6,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.1,0.0,0.0,0.2,1.0
2006,6,TMAX,70.0,64.0,70.0,73.0,68.0,57.0,56.0,57.0,67.0,74.0,73.0,73.0,67.0,68.0,69.0,73.0,75.0,72.0,74.0,74.0,76.0,75.0,69.0,74.0,9999.0,72.0,72.0,81.0,76.0,65.0,62.0
2006,6,TMIN,43.0,40.0,45.0,54.0,49.0,41.0,38.0,37.0,42.0,49.0,52.0,52.0,48.0,48.0,45.0,49.0,52.0,49.0,52.0,48.0,52.0,52.0,51.0,52.0,9999.0,49.0,52.0,54.0,49.0,46.0,42.0
2006,7,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.0,0.2,0.0,0.0,0.0
2006,7,TMAX,74.0,73.0,74.0,72.0,75.0,81.0,82.0,83.0,84.0,81.0,77.0,74.0,79.0,82.0,83.0,83.0,78.0,77.0,78.0,80.0,83.0,79.0,75.0,76.0,69.0,74.0,69.0,70.0,71.0,71.0,73.0
2006,7,TMIN,49.0,49.0,50.0,51.0,52.0,55.0,59.0,61.0,60.0,60.0,54.0,53.0,52.0,59.0,59.0,59.0,59.0,54.0,58.0,55.0,59.0,57.0,54.0,57.0,49.0,51.0,55.0,48.0,47.0,53.0,52.0
2006,8,PRCP,0.5,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
