T_degC,Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
16.83,33.851,5.56,65,1337.0,14.0,16.5,15.5,,,,
9.262,33.8481,2.729,140,1202.0,5.0,15.0,13.0,Partly Cloudy,Stratus,1/10 or less but not zero,10km to 20km
15.39,33.426,5.99,30,3871.0,10.0,18.8,17.6,Continuous blowing snow,Stratus,10/10,10km to 20km
14.54,32.947,5.84,42,4018.0,14.0,16.9,16.1,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
7.41,34.181,1.0,300,4058.0,21.0,16.3,14.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,4km to 10km
14.39,33.192,5.89,76,4048.0,23.0,13.2,9.8,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,4km to 10km
11.73,33.461,4.52,50,110.0,7.0,15.1,14.0,Partly Cloudy,Stratus,6/10,4km to 10km
18.69,33.48,5.44,10,4208.0,12.0,18.2,17.0,,,,
10.47,33.899,2.52,140,1333.0,5.0,19.8,17.7,Clear,,Zero,20km to 50km
6.57,34.267,0.48,439,1358.0,11.0,13.5,12.5,,,,
7.601,34.1049,1.421,300,3254.0,14.0,14.7,14.0,Rain,Nimbostratus,10/10,1km to 2km
10.24,33.594,3.38,65,76.0,3.0,14.5,13.5,Continuous blowing snow,Stratus,10/10,4km to 10km
13.842,33.5436,6.017,0,1152.0,32.0,14.9,14.0,,,,
8.24,33.904,3.28,200,1839.0,6.0,14.0,10.5,,,,
10.25,33.657,3.92,144,4160.0,21.0,18.5,16.9,,,,
6.458,34.1618,0.755,400,773.0,16.0,14.1,12.1,,,,
6.938,34.2514,0.547,380,1586.0,15.0,17.5,16.2,,,,
5.58,34.229,0.47,500,4013.0,1.0,12.9,11.4,,,,
8.54,34.107,1.96,229,1207.0,24.0,14.0,11.0,Partly Cloudy,Altocumulus,4/10,10km to 20km
7.87,33.967,3.01,272,4032.0,15.0,17.8,17.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,2km to 4km
15.32,33.16,5.91,16,4228.0,10.0,17.0,16.1,Partly Cloudy,Altocumulus,1/10 or less but not zero,10km to 20km
7.79,34.177,1.32,269,874.0,4.0,15.9,15.8,,,,
7.961,34.1709,1.135,270,2216.0,19.0,15.5,14.7,Partly Cloudy,Cumulus,7/10 to 8/10,20km to 50km
9.999,33.6898,3.269,40,577.0,5.0,13.9,12.0,,,,
7.87,34.044,2.51,250,1808.0,12.0,16.5,15.0,,,,
11.135,33.6167,3.412,117,654.0,17.0,20.9,15.9,,,,
8.68,33.948,2.83,200,4012.0,9.0,17.9,17.0,Partly Cloudy,Cirrus,4/10,10km to 20km
12.72,33.707,6.2,5,74.0,6.0,13.8,12.8,Fog,,,50m to 200m
6.67,34.312,0.47,500,1691.0,9.0,17.1,15.4,,,,
9.66,33.811,2.89,84,973.0,17.0,15.0,13.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
8.79,33.876,3.03,125,3986.0,16.0,15.8,13.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
7.02,34.179,0.86,378,4128.0,14.0,12.5,9.8,,,,
11.28,33.372,4.76,111,3744.0,9.0,16.3,14.9,Partly Cloudy,Cirrostratus,7/10 to 8/10,10km to 20km
14.7,33.41,6.94,11,37.0,14.0,16.0,16.0,Fog,,10/10,50m to 200m
9.55,34.018,2.43,174,483.0,12.0,17.9,14.8,,,,
9.32,33.709,3.34,150,1855.0,12.0,17.5,16.0,,,,
15.25,33.323,5.96,75,3984.0,18.0,18.9,16.8,Clear,,Zero,20km to 50km
10.62,33.586,3.15,48,729.0,8.0,22.0,20.0,Partly Cloudy,Cirrus,6/10,10km to 20km
14.01,33.1227,6.032,0,719.0,5.0,14.0,13.0,,,,
17.511,33.5471,5.835,0,23.0,4.0,22.0,20.0,Clear,,Zero,10km to 20km
20.214,33.4071,5.375,0,20.0,7.0,16.5,13.0,,,,
13.543,33.322,5.427,40,110.0,2.0,14.0,12.4,,,,
10.56,33.505,3.77,75,3876.0,22.0,13.0,12.5,Partly Cloudy,Altocumulus,7/10 to 8/10,10km to 20km
7.0,34.037,2.0,300,3834.0,13.0,16.8,14.4,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
7.386,34.1286,1.248,300,1492.0,17.0,14.0,11.0,,,,
7.42,34.143,1.53,300,1654.0,6.0,16.2,16.2,,,,
16.115,33.4863,5.651,20,3855.0,14.0,14.5,13.3,,,,
13.62,33.466,5.82,50,1785.0,13.0,14.0,12.8,,,,
9.41,33.6,3.74,148,1449.0,5.0,18.9,16.0,Continuous blowing snow,Stratus,10/10,10km to 20km
12.51,33.534,4.54,69,767.0,9.0,20.1,16.9,,,,
8.95,34.059,2.75,150,727.0,18.0,15.0,14.4,,,,
11.65,33.47,4.56,51,243.0,21.0,12.0,11.0,,,,
9.463,34.3442,0.843,306,319.0,12.0,21.0,20.0,Partly Cloudy,Stratus,7/10 to 8/10,4km to 10km
6.15,34.295,0.36,500,3749.0,17.0,16.9,14.4,Partly Cloudy,Cumulus,4/10,10km to 20km
5.49,34.149,0.67,517,4392.0,22.0,19.5,18.0,Continuous blowing snow,Stratocumulus,10/10,
14.02,33.47,5.89,0,289.0,4.0,14.1,11.5,,,,
9.71,33.604,3.85,150,4117.0,14.0,14.5,11.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
9.3,34.067,2.12,141,595.0,6.0,19.0,21.2,Partly Cloudy,Cirrocumulus,2/10 to 3/10,10km to 20km
14.987,33.3813,5.393,40,68.0,16.0,16.9,14.8,,,,
8.82,33.788,3.26,150,1179.0,10.0,19.7,18.5,,,,
13.979,32.9535,6.016,63,3996.0,8.0,16.0,15.4,,,,
12.28,33.104,5.42,108,3544.0,5.0,20.5,18.1,Partly Cloudy,Stratocumulus,1/10 or less but not zero,10km to 20km
13.53,33.192,6.41,20,1694.0,15.0,13.3,11.9,,,,
7.09,34.047,2.14,294,3799.0,19.0,15.2,14.5,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
7.15,34.022,2.52,300,4107.0,8.0,18.9,17.1,Partly Cloudy,Cirrostratus,5/10,10km to 20km
12.68,33.544,6.79,20,691.0,3.0,14.9,13.0,,,,
10.74,33.762,3.41,71,243.0,17.0,12.3,11.0,,,,
8.79,34.09,1.89,170,1891.0,8.0,18.1,16.6,,,,
15.21,33.572,5.87,15,1443.0,12.0,15.7,14.0,Clear,,Zero,20km to 50km
6.3,34.29,0.44,500,617.0,5.0,19.8,18.6,Fog,,10/10,10km to 20km
10.16,32.961,5.5,124,4355.0,18.0,15.1,13.0,Partly Cloudy,Nimbostratus,9/10 or more but not 10/10,20km to 50km
