Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
32.833,6.16,47,3942.0,9.0,17.2,12.9,Partly Cloudy,Stratocumulus,5/10,20km to 50km
33.693,5.64,50,4001.0,12.0,14.7,14.7,,,,
34.053,1.99,229,4019.0,25.0,14.2,13.1,,,,
33.976,3.52,199,3790.0,18.0,16.2,15.2,,,,
33.394,5.23,111,4427.0,9.0,16.4,13.3,,,,
33.3082,5.693,30,3766.0,15.0,16.0,14.7,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.27,,10,21.0,12.0,11.7,10.5,,,,
34.314,0.34,437,1579.0,20.0,19.7,18.0,Clear,,Zero,20km to 50km
33.266,6.21,20,603.0,8.0,16.8,16.5,,,,
33.587,4.35,125,3865.0,8.0,18.8,18.2,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.123,5.74,100,4165.0,10.0,20.8,20.5,Fog,,10/10,2km to 4km
33.3854,5.688,39,1599.0,5.0,17.0,15.0,,,,
33.907,2.82,169,4232.0,7.0,13.8,12.0,Partly Cloudy,Cirrus,6/10,10km to 20km
33.2124,5.974,10,3808.0,6.0,15.7,14.0,Continuous blowing snow,Stratus,10/10,10km to 20km
33.843,2.97,75,574.0,4.0,13.3,12.5,Partly Cloudy,Cirrostratus,9/10 or more but not 10/10,4km to 10km
34.261,0.39,521,568.0,10.0,12.4,11.7,,,,
34.233,0.68,400,984.0,10.0,14.3,12.9,,,,
33.552,4.91,150,4156.0,27.0,15.0,12.3,,,,
33.8667,2.719,120,310.0,14.0,21.9,19.0,Clear,,Zero,20km to 50km
33.558,3.7,124,1588.0,20.0,15.9,13.1,,,,
33.5465,6.376,20,62.0,4.0,15.5,12.0,Partly Cloudy,Altostratus,9/10 or more but not 10/10,4km to 10km
33.29,6.81,0,56.0,11.0,15.9,11.3,Clear,,Zero,4km to 10km
34.103,1.15,400,4573.0,10.0,15.0,13.8,,,,
33.9274,2.684,200,3980.0,9.0,13.5,11.7,,,,
33.475,4.74,30,238.0,10.0,15.1,14.5,,,,
33.423,4.06,70,582.0,9.0,17.9,14.9,Partly Cloudy,Cirrostratus,1/10 or less but not zero,10km to 20km
33.67,3.79,139,4293.0,13.0,13.9,12.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.878,2.98,84,1722.0,4.0,17.5,16.1,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.823,3.09,100,167.0,12.0,14.5,13.5,Partly Cloudy,Stratus,1/10 or less but not zero,20km to 50km
33.5952,5.956,5,27.0,4.0,19.3,17.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
34.0734,1.83,230,1356.0,18.0,13.5,11.2,Partly Cloudy,Cumulus,4/10,4km to 10km
34.209,0.66,380,1334.0,27.0,13.4,12.9,Continuous blowing snow,Nimbostratus,10/10,2km to 4km
33.518,3.74,66,72.0,9.0,17.8,14.7,,,,
34.113,1.15,378,4035.0,1.0,14.8,12.9,Continuous blowing snow,Stratus,6/10,10km to 20km
33.9227,2.595,120,312.0,2.0,21.0,18.5,Continuous blowing snow,Stratus,10/10,10km to 20km
33.508,6.134,19,26.0,5.0,21.0,19.2,Clear,,Zero,4km to 10km
33.0832,5.421,100,4147.0,2.0,17.8,16.2,,,,
33.355,5.31,1,69.0,4.0,20.0,19.5,Partly Cloudy,Altocumulus,4/10,2km to 4km
34.295,0.55,400,642.0,9.0,14.5,12.2,Continuous blowing snow,Stratocumulus,6/10,4km to 10km
33.5303,5.641,50,3802.0,10.0,15.0,13.0,,,,
33.8653,3.152,200,4164.0,12.0,16.3,15.2,Partly Cloudy,Stratus,4/10,10km to 20km
33.382,5.97,50,598.0,6.0,19.9,18.2,,,,
33.5007,5.032,40,230.0,14.0,13.4,12.1,,,,
34.2609,0.362,515,1157.0,9.0,15.8,14.2,,,,
33.143,5.76,40,4230.0,8.0,17.0,14.5,Continuous blowing snow,Stratus,10/10,10km to 20km
33.564,3.521,120,4293.0,15.0,13.9,12.8,,,,
33.1402,5.834,51,3972.0,14.0,15.9,14.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.5204,5.803,14,22.0,4.0,19.0,17.5,,,,
33.99,3.08,206,4211.0,9.0,16.5,15.2,,,,
33.369,5.4,109,4166.0,3.0,17.1,13.9,,,,
33.0014,5.868,3,4237.0,13.0,15.0,14.3,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.254,5.44,10,3718.0,13.0,17.9,16.2,,,,
33.511,6.06,1,666.0,15.0,19.8,12.5,,,,
33.9623,2.577,170,4012.0,10.0,11.6,10.7,Continuous blowing snow,Stratus,10/10,2km to 4km
33.57,5.76,0,62.0,15.0,13.9,13.9,,,,
33.974,2.421,100,238.0,20.0,12.7,11.1,Clear,,Zero,10km to 20km
33.15,5.92,0,1586.0,7.0,18.0,15.8,Clear,,Zero,20km to 50km
33.136,,86,4280.0,17.0,17.6,16.8,,,,
33.4728,4.491,70,1478.0,11.0,14.7,13.1,Partly Cloudy,Cumulus,2/10 to 3/10,10km to 20km
33.495,4.9,10,27.0,3.0,17.5,16.8,,,,
33.468,5.47,12,95.0,16.0,16.2,13.2,,,,
33.76,4.01,200,4164.0,12.0,17.5,15.6,,,,
33.384,5.9,40,278.0,10.0,14.2,12.9,,,,
34.039,2.36,198,4087.0,11.0,16.1,13.9,,,,
33.38,5.61,15,23.0,5.0,13.0,12.6,,,,
34.103,1.69,300,4291.0,16.0,18.3,16.7,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
34.0779,1.389,321,4193.0,19.0,13.2,11.6,,,,
33.772,2.82,139,621.0,11.0,16.1,15.5,Rain,Nimbostratus,10/10,2km to 4km
33.214,6.02,85,3506.0,13.0,16.0,13.7,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.889,2.73,69,2164.0,4.0,16.7,15.2,Partly Cloudy,Cirrostratus,6/10,10km to 20km
34.248,0.76,376,614.0,6.0,15.7,13.9,Clear,,Zero,10km to 20km
33.513,5.16,45,4142.0,19.0,18.0,16.8,Partly Cloudy,Stratocumulus,6/10,10km to 20km
33.535,3.68,50,641.0,12.0,16.9,14.9,Clear,,Zero,10km to 20km
33.3481,5.135,30,32.0,7.0,13.5,11.0,Clear,,Zero,10km to 20km
32.997,5.79,25,4067.0,8.0,15.0,13.3,Clear,Cirrostratus,4/10,10km to 20km
34.1084,0.828,440,4318.0,15.0,18.0,16.0,,,,
33.782,2.91,101,2227.0,17.0,15.0,13.8,,,,
34.105,1.73,170,1645.0,3.0,17.0,13.5,Clear,Cirrus,4/10,10km to 20km
33.911,2.29,100,936.0,18.0,15.7,13.8,Continuous blowing snow,Stratus,10/10,20km to 50km
33.285,4.85,126,4020.0,28.0,15.2,14.7,,,,
34.0485,2.096,230,1228.0,10.0,17.4,15.3,,,,
32.967,5.64,50,1181.0,6.0,16.1,14.1,,,,
33.4504,3.692,42,61.0,7.0,22.0,20.2,Partly Cloudy,Altostratus,5/10,20km to 50km
33.609,4.02,100,2193.0,12.0,16.1,13.8,Partly Cloudy,Stratocumulus,5/10,10km to 20km
33.194,5.87,20,4266.0,17.0,17.1,17.1,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
33.6,6.12,0,1003.0,18.0,13.5,11.1,,,,
33.34,6.05,21,68.0,3.0,18.8,16.7,Clear,,Zero,10km to 20km
33.923,3.16,200,4140.0,5.0,17.9,15.5,,,,
33.338,5.56,20,579.0,1.0,17.3,16.8,Clear,,Zero,10km to 20km
34.25,0.46,500,1309.0,2.0,13.2,11.4,,,,
33.3828,,113,4062.0,7.0,20.0,18.7,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
34.008,2.92,269,4008.0,2.0,19.1,17.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
33.45,,50,4535.0,,,,,,,
34.231,0.51,455,1837.0,5.0,17.8,16.0,,,,
33.173,5.86,15,3739.0,30.0,15.0,12.5,Clear,,Zero,10km to 20km
33.496,5.06,100,629.0,6.0,20.5,18.6,,,,
34.053,2.37,203,1705.0,7.0,18.1,17.8,Continuous blowing snow,Altocumulus,10/10,10km to 20km
33.636,6.0,1,69.0,8.0,17.1,13.4,,,,
33.491,3.85,30,77.0,23.0,14.8,13.8,Partly Cloudy,Stratus,2/10 to 3/10,4km to 10km
33.966,2.94,204,4120.0,16.0,17.0,14.9,Continuous blowing snow,Stratus,10/10,4km to 10km
34.143,2.1,199,1608.0,18.0,16.6,15.1,,,,
33.161,6.13,0,4232.0,15.0,12.3,11.8,,,,
33.071,5.64,70,3828.0,15.0,15.0,13.8,,,,
33.503,5.62,15,19.0,2.0,,,,,,
34.069,2.42,169,1695.0,8.0,19.0,17.9,,,,
33.981,2.97,267,4189.0,1.0,15.6,12.9,,,,
34.3213,0.266,516,1485.0,11.0,19.5,17.5,,,,
33.9827,2.593,230,4100.0,10.0,14.0,13.0,,,,
33.823,5.79,73,4008.0,4.0,18.7,14.6,,,,
33.633,,10,306.0,9.0,20.4,19.8,,,,
33.5801,6.161,2,63.0,5.0,18.8,16.8,,,,
33.448,6.61,2,24.0,9.0,18.9,15.5,Partly Cloudy,Stratocumulus,5/10,10km to 20km
34.11,1.75,199,953.0,16.0,10.0,7.1,,,,
33.25,5.57,2,4116.0,7.0,17.0,16.3,Continuous blowing snow,Stratus,10/10,10km to 20km
34.0397,1.921,200,3980.0,18.0,12.3,11.0,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,4km to 10km
34.2328,0.379,500,3832.0,15.0,18.0,17.0,,,,
33.818,2.986,100,647.0,10.0,19.8,18.8,Continuous blowing snow,Stratus,10/10,20km to 50km
34.102,1.98,200,1169.0,28.0,13.8,13.1,,,,
33.261,5.52,2,1622.0,20.0,18.2,17.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
33.493,5.77,2,633.0,15.0,15.1,12.0,,,,
33.133,5.35,70,4180.0,20.0,18.9,17.4,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.232,5.81,30,1827.0,,,,,,,
34.135,1.71,170,1320.0,17.0,13.2,12.1,Partly Cloudy,Altocumulus,1/10 or less but not zero,10km to 20km
33.7499,2.85,101,603.0,9.0,16.8,15.6,Continuous blowing snow,Stratus,10/10,4km to 10km
33.161,5.83,2,3823.0,13.0,19.8,17.0,Clear,,Zero,10km to 20km
34.136,1.81,250,622.0,8.0,20.9,20.1,Clear,,Zero,10km to 20km
33.563,5.54,40,730.0,21.0,16.2,15.0,Clear,,Zero,10km to 20km
34.173,1.83,199,827.0,10.0,18.5,15.2,Partly Cloudy,Cirrus,6/10,10km to 20km
34.267,0.54,500,1317.0,10.0,16.9,11.0,Continuous blowing snow,Stratus,10/10,10km to 20km
33.9437,3.35,230,4270.0,15.0,18.5,15.1,Partly Cloudy,Stratus,6/10,20km to 50km
33.183,5.97,74,4235.0,8.0,18.9,18.1,,,,
33.587,5.11,124,3848.0,16.0,16.8,14.9,Partly Cloudy,Stratocumulus,4/10,4km to 10km
33.995,2.59,300,4129.0,0.0,20.9,19.3,,,,
33.404,5.91,2,22.0,4.0,14.9,12.2,Clear,,Zero,20km to 50km
34.172,1.53,355,1024.0,10.0,16.0,15.1,Partly Cloudy,Stratus,9/10 or more but not 10/10,10km to 20km
34.067,1.68,377,4083.0,21.0,16.0,14.6,,,,
33.246,4.79,91,3587.0,6.0,15.7,13.9,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
33.54,5.91,0,877.0,18.0,18.2,16.1,Clear,,Zero,10km to 20km
33.244,,107,2615.0,9.0,16.5,14.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
34.189,0.7,500,4114.0,28.0,18.7,16.2,,,,
33.447,5.89,51,3547.0,14.0,15.2,13.8,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
33.181,5.77,88,4275.0,24.0,14.1,11.7,Partly Cloudy,Cumulus,4/10,10km to 20km
33.23,6.2,10,55.0,9.0,16.0,14.2,Partly Cloudy,Cirrus,7/10 to 8/10,4km to 10km
33.351,6.15,0,68.0,3.0,17.2,15.2,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
33.5713,4.081,140,4552.0,11.0,14.2,13.6,,,,
33.577,6.26,0,1399.0,9.0,14.8,12.8,,,,
33.05,5.98,25,,22.0,16.3,15.1,Clear,,Zero,10km to 20km
33.926,2.68,100,550.0,10.0,19.7,19.6,Partly Cloudy,Cirrostratus,4/10,20km to 50km
34.331,0.26,500,639.0,9.0,16.8,12.9,,,,
33.389,5.578,2,1845.0,17.0,16.5,13.8,,,,
34.303,0.41,500,686.0,10.0,18.1,17.2,,,,
34.2536,0.448,441,3850.0,23.0,13.6,11.5,,,,
34.111,1.47,300,3730.0,18.0,20.0,18.0,Clear,,Zero,10km to 20km
34.1406,1.122,300,2957.0,7.0,12.3,10.7,Continuous blowing snow,Stratus,10/10,4km to 10km
33.129,5.87,2,4122.0,7.0,15.6,15.4,Fog,,10/10,Less than 50m
