T_degC,Salnty,O2ml_L
6.7,34.201,
12.02,33.44,5.63
11.58,33.22,5.95
6.21,34.109,1.25
8.21,34.15,
17.3,33.906,
16.007,32.9451,5.756
6.26,34.466,0.19
17.44,,5.4
11.12,33.699,3.46
17.15,33.521,5.58
17.22,35.19,3.79
7.43,34.512,0.08
4.82,34.44,
14.98,33.45,
17.61,33.221,5.54
7.03,34.118,1.38
9.32,33.828,2.75
10.19,33.668,3.68
6.02,34.142,0.87
19.08,33.269,5.43
15.49,33.669000000000004,5.85
7.31,34.143,1.52
7.74,34.249,0.98
11.16,33.3,5.52
8.05,34.239000000000004,1.33
7.0,34.34,0.4
10.06,33.781,3.01
7.32,34.147,1.43
5.47,34.173,0.61
13.11,33.111,6.07
9.01,33.972,2.72
6.76,34.235,0.71
11.62,33.457,
16.51,33.173,5.69
13.389,33.4519,6.059
9.64,33.817,3.66
14.62,33.92,
5.59,34.126,0.85
12.5,33.383,5.27
14.916,33.5317,6.185
14.937,33.5874,6.601
12.31,33.548,4.23
7.51,34.36,0.48
8.25,33.918,3.37
9.79,32.851,5.52
2.95,,1.11
5.84,34.34,0.35
6.61,34.281,0.52
8.52,34.14,1.53
9.76,32.756,6.46
1.61,,3.6
8.22,34.02,
7.72,34.111,
1.79,34.649,2.22
9.27,34.064,1.94
11.65,33.473,4.97
14.68,32.8618,5.961
12.05,33.358000000000004,5.63
5.38,34.214,0.33
5.07,34.11,0.98
12.3,34.636,0.6
9.67,33.282,5.01
14.88,33.764,5.22
9.79,33.48,4.44
9.25,34.386,0.75
8.7,34.209,1.78
6.382999999999999,34.3065,0.321
12.22,33.673,4.08
15.945,33.2981,5.625
16.37,34.26,
8.07,32.622,3.41
7.89,34.009,
16.6,33.7,
19.82,33.4,5.5
5.7,34.257,0.42
11.72,33.407,5.07
22.34,34.045,4.67
7.0,34.226,0.8
8.72,34.149,1.81
9.91,33.281,5.52
19.34,33.434,5.46
6.78,34.273,0.55
11.47,33.628,4.25
8.52,34.048,2.03
12.012,33.376,4.68
10.86,33.65,3.96
15.57,33.585,5.92
12.55,33.459,4.91
15.72,33.418,6.05
6.93,33.98,1.48
10.26,34.1,
14.24,32.873000000000005,5.88
7.28,34.273,0.67
15.25,33.143,6.03
16.6,34.195,3.84
3.1,34.523,1.04
11.61,33.976,2.4
7.86,34.16,1.46
7.26,,0.68
13.43,33.443000000000005,4.87
8.94,33.844,3.76
8.96,34.084,2.16
8.59,33.849000000000004,
10.12,33.66,4.21
12.72,33.446,5.92
6.56,34.251999999999995,0.03
16.58,33.54,
9.17,33.75,3.19
5.91,34.318000000000005,0.3
11.72,33.568000000000005,4.43
12.14,32.501999999999995,
5.48,,0.62
3.89,34.48,
7.21,34.266,0.74
14.91,33.351,5.96
3.58,34.438,0.52
6.37,34.334,0.28
8.516,34.1417,1.187
17.65,34.138000000000005,5.58
4.38,34.396,0.34
9.38,34.54,0.22
9.79,33.219,4.79
10.38,33.981,2.69
5.25,34.41,
15.96,33.076,5.78
8.65,33.967,3.05
12.62,33.371,4.92
16.68,33.796,
16.62,33.573,6.12
10.27,34.36,
9.96,33.657,3.98
14.97,33.58,
10.1,33.745,3.6
8.19,34.006,2.81
16.08,33.51,5.9
3.56,34.506,
17.576,33.697,5.8420000000000005
10.09,33.656,4.21
7.38,34.081,1.7
7.51,34.012,3.12
5.64,34.33,0.34
12.38,33.541,4.84
10.08,33.708,3.04
12.39,33.39,6.01
7.94,34.049,2.3
4.13,34.447,0.39
6.12,34.076,1.37
11.64,34.86,1.26
18.67,34.198,
8.04,34.26,
3.54,34.518,
16.67,33.595,5.83
6.42,34.151,0.93
15.89,32.923,5.87
7.236000000000001,34.0463,1.7380000000000002
15.26,32.95,5.39
9.79,33.77,2.88
7.44,34.123000000000005,1.42
16.68,33.6,5.67
16.2,33.47,
15.3,33.708,5.24
12.03,33.299,6.58
11.31,32.702,5.23
8.55,34.232,1.47
10.5,34.28,1.52
7.91,34.263000000000005,1.25
9.23,33.91,2.54
18.56,33.549,5.68
8.65,33.994,2.74
12.76,32.99,5.8
5.9,34.36,
12.81,34.43,0.9
6.61,34.0,2.12
7.65,33.968,3.06
10.92,33.365,5.5
17.56,33.392,5.68
7.05,34.144,1.5
6.78,34.286,0.64
14.77,33.38,
15.15,33.15,
10.15,34.001,2.58
8.57,34.096,2.19
11.81,33.19,4.96
