bib,race,division,city,time,pace
101,10K,Division:M 25-29,"Provo, UTAH",1:24:30.4,13:38/M
102,5K,Division:F 40-44,"Spanish Fork, UTAH",41:49.8,13:30/M
103,10K,Division:M 30-34,"Vineyard, UTAH",1:28:59.8,14:21/M
104,10K,Division:M 35-39,"Syracuse, UTAH",55:36.1,8:58/M
106,5K,Division:F 40-44,"American Fork, UTAH",41:49.0,13:29/M
107,10K,Division:M 25-29,"Provo, UTAH",1:03:33.3,10:15/M
108,10K,Division:M 30-34,"Provo, UTAH",1:08:11.6,11:00/M
109,10K,Division:M 45-49,"Spanish Fork, UTAH",58:52.3,9:30/M
110,10K,Division:M 16-19,"Spanish Fork, UTAH",51:43.9,8:21/M
111,10K,Division:F 45-49,"Spanish Fork, UTAH",1:13:58.3,11:56/M
114,10K,Division:F 35-39,"Orem, UTAH",1:02:03.8,10:01/M
115,10K,Division:M 35-39,"Orem, UTAH",1:02:03.6,10:01/M
116,10K,Division:F 30-34,"Orem, UTAH",1:00:18.1,9:44/M
117,10K,Division:F 30-34,"Vineyard, UTAH",1:04:41.4,10:26/M
119,10K,Division:M 20-24,"Provo, UTAH",38:27.7,6:12/M
120,10K,Division:M 40-44,"Honolulu, HAWAII",42:39.2,6:53/M
121,10K,Division:F 45-49,"Daly City, CALIFORNIA",1:09:41.9,11:15/M
122,10K,Division:M 45-49,"Daly City, CALIFORNIA",1:09:42.3,11:15/M
123,10K,Division:F 20-24,"Austin, TEXAS",1:10:13.0,11:20/M
124,10K,Division:M 30-34,"Kailua, HAWAII",1:03:11.8,10:12/M
127,10K,Division:M 65-69,"Provo, UTAH",1:12:09.5,11:38/M
128,10K,Division:F 20-24,"Lehi, UTAH",58:02.8,9:22/M
129,10K,Division:M 35-39,"Lehi, UTAH",1:05:14.5,10:31/M
130,10K,Division:F 35-39,"Lehi, UTAH",1:01:56.7,9:59/M
131,10K,Division:M 25-29,"Spanish Fork, UTAH",1:00:14.8,9:43/M
132,10K,Division:F 65-69,"Orem, UTAH",1:16:50.0,12:24/M
133,10K,Division:M 40-44,"Orem, UTAH",1:10:26.2,11:22/M
134,10K,Division:F 25-29,"Payson, UTAH",46:33.9,7:31/M
135,10K,Division:F 40-44,"Provo, UTAH",53:28.3,8:37/M
138,10K,Division:F 25-29,"Provo, UTAH",47:02.6,7:35/M
139,10K,Division:Top Fin,"Provo, UTAH",31:29.8,5:05/M
142,10K,Division:M 45-49,"Burlington, WASHINGTON",54:08.3,8:44/M
143,10K,Division:M 20-24,"Orem, UTAH",1:07:40.6,10:55/M
144,10K,Division:M 30-34,"Midvale, UTAH",43:47.6,7:04/M
145,10K,Division:F 25-29,"Provo, UTAH",49:19.9,7:57/M
146,10K,Division:F 40-44,"Provo, UTAH",55:21.6,8:56/M
147,10K,Division:F 25-29,"Springfield, OREGON",1:00:58.0,9:50/M
148,10K,Division:F 55-59,"Springfield, OREGON",1:01:22.2,9:54/M
149,10K,Division:F 35-39,"Provo, UTAH",1:12:12.3,11:39/M
150,10K,Division:F 40-44,"Lehi, UTAH",45:26.0,7:20/M
151,10K,Division:M 25-29,"Payson, UTAH",35:32.2,5:44/M
152,10K,Division:M 55-59,"Pleasant Grove, UTAH",1:05:25.5,10:33/M
153,10K,Division:F 10-12,"American Fork, UTAH",1:05:19.0,10:32/M
154,10K,Division:M 30-34,"Herriman, UTAH",48:45.1,7:52/M
155,10K,Division:F 40-44,"Highland, UTAH",43:04.4,6:57/M
156,5K,Division:M 40-44,"Highland, UTAH",1:00:36.3,19:33/M
157,10K,Division:M 20-24,"Provo, UTAH",49:02.7,7:55/M
158,10K,Division:M 20-24,"Cedar Hills, UTAH",1:14:00.6,11:56/M
159,10K,Division:M 25-29,"South Jordan, UTAH",41:25.7,6:41/M
160,10K,Division:F 40-44,"Orem, UTAH",1:16:38.1,12:22/M
161,10K,Division:M 16-19,"Orem, UTAH",56:55.9,9:11/M
162,10K,Division:M 40-44,"Heber City, UTAH",1:04:54.0,10:28/M
163,10K,Division:M 30-34,"Orem, UTAH",1:11:06.2,11:28/M
164,10K,Division:F 25-29,"Orem, UTAH",1:11:04.9,11:28/M
165,10K,Division:F 30-34,"Flagstaff, ARIZONA",1:21:00.3,13:04/M
166,10K,Division:F 30-34,"Provo, UTAH",1:21:52.2,13:12/M
167,10K,Division:F 20-24,"Provo, UTAH",42:47.6,6:54/M
168,10K,Division:M 45-49,"Riverton, UTAH",43:19.5,6:59/M
169,10K,Division:M 20-24,"Riverton, UTAH",49:48.4,8:02/M
170,10K,Division:F 40-44,"Winter Garden, FLORIDA",1:15:29.6,12:11/M
171,10K,Division:M 50-54,"Salem, UTAH",49:41.3,8:01/M
173,10K,Division:F 45-49,"Spanish Fork, UTAH",51:26.5,8:18/M
174,10K,Division:F 30-34,"Vineyard, UTAH",49:04.0,7:55/M
175,10K,Division:M 50-54,"Highland, UTAH",53:10.2,8:35/M
176,10K,Division:F 50-54,"Highland, UTAH",54:49.5,8:51/M
177,10K,Division:M 45-49,"Provo, UTAH",1:18:07.4,12:36/M
178,10K,Division:M 50-54,"American Fork, UTAH",47:23.2,7:39/M
179,10K,Division:F 40-44,"Orem, UTAH",46:15.1,7:28/M
180,5K,Division:M 50-54,"Orem, UTAH",28:03.1,9:03/M
181,10K,Division:F 25-29,"Provo, UTAH",48:45.0,7:52/M
182,10K,Division:F 20-24,"Highland, UTAH",52:29.0,8:28/M
183,10K,Division:F 20-24,"Highland, UTAH",52:48.1,8:31/M
184,10K,Division:M 45-49,"Santa Clara, UTAH",48:21.6,7:48/M
185,10K,Division:F 45-49,"Santa Clara, UTAH",48:04.1,7:45/M
186,10K,Division:F 16-19,"Las Vegas, NEVADA",1:09:47.2,11:15/M
187,10K,Division:F 20-24,"Orem, UTAH",57:15.3,9:14/M
188,10K,Division:M 20-24,"Orem, UTAH",56:57.9,9:11/M
189,10K,Division:M 65-69,"Draper, UTAH",1:25:20.2,13:46/M
190,10K,Division:F 20-24,"Provo, UTAH",1:09:49.3,11:16/M
191,10K,Division:F 40-44,"American Fork, UTAH",48:59.2,7:54/M
192,10K,Division:F 20-24,"Lehi, UTAH",50:35.2,8:10/M
194,10K,Division:M 40-44,"Vancouver, WASHINGTON",48:32.5,7:50/M
195,10K,Division:M 50-54,"Orem, UTAH",1:15:21.6,12:09/M
196,10K,Division:F 50-54,"Orem, UTAH",1:15:24.0,12:10/M
198,10K,Division:M 65-69,"Orem, UTAH",1:01:31.4,9:55/M
199,10K,Division:F 65-69,"American Fork, UTAH",1:27:48.6,14:10/M
200,10K,Division:F 25-29,"American Fork, UTAH",1:00:01.7,9:41/M
202,10K,Division:F 30-34,"Springville, UTAH",1:02:25.3,10:04/M
203,10K,Division:F 30-34,"Bakersfield, CALIFORNIA",56:50.1,9:10/M
204,10K,Division:M 30-34,"Saint Louis, MISSOURI",1:02:26.1,10:04/M
205,10K,Division:M 30-34,"Henderson, NEVADA",50:38.0,8:10/M
206,10K,Division:F 25-29,"Henderson, NEVADA",1:00:51.1,9:49/M
208,10K,Division:F 35-39,"South Jordan, UTAH",54:41.3,8:49/M
209,10K,Division:M 10-12,"South Jordan, UTAH",54:19.4,8:46/M
210,10K,Division:F 35-39,"Saint George, UTAH",46:10.2,7:27/M
211,10K,Division:M 55-59,"Provo, UTAH",58:46.5,9:29/M
212,10K,Division:F 16-19,"Provo, UTAH",43:52.4,7:05/M
213,10K,Division:M 30-34,"Pittsburg, CALIFORNIA",50:43.2,8:11/M
214,10K,Division:M 35-39,"Mesa, ARIZONA",55:41.0,8:59/M
215,10K,Division:F 40-44,"Midvale, UTAH",55:41.0,8:59/M
216,5K,Division:F 20-24,"Provo, UTAH",29:21.9,9:28/M
217,10K,Division:F 20-24,"Springville, UTAH",1:05:52.0,10:37/M
218,10K,Division:M 20-24,"Heber City, UTAH",59:43.9,9:38/M
219,10K,Division:M 25-29,"Orem, UTAH",1:14:51.2,12:04/M
220,5K,Division:M 40-44,"Lehi, UTAH",37:20.7,12:03/M
221,10K,Division:F 20-24,"Provo, UTAH",53:40.4,8:39/M
222,10K,Division:M 55-59,"St George, UTAH",56:54.5,9:11/M
223,10K,Division:M 45-49,"Pleasant Grove, UTAH",52:56.6,8:32/M
224,10K,Division:M 25-29,"St George, UTAH",47:05.1,7:36/M
225,10K,Division:M 16-19,"Pleasant Grove, UTAH",52:27.7,8:28/M
226,10K,Division:M 20-24,"St George, UTAH",56:24.1,9:06/M
227,10K,Division:M 35-39,"Vineyard, UTAH",58:08.6,9:23/M
229,10K,Division:M 45-49,"Flower Mound, TEXAS",48:29.5,7:49/M
230,10K,Division:M 13-15,"Flower Mound, TEXAS",54:59.4,8:52/M
231,10K,Division:F 16-19,"Flower Mound, TEXAS",1:12:58.9,11:46/M
232,10K,Division:M 20-24,"Flower Mound, TEXAS",54:59.4,8:52/M
233,10K,Division:F 25-29,"American Fork, UTAH",1:00:08.8,9:42/M
234,10K,Division:F 55-59,"Elk Ridge, UTAH",55:15.0,8:55/M
235,10K,Division:M 20-24,"Colorado Spgs, COLORADO",48:20.6,7:48/M
236,10K,Division:F 16-19,"Pleasant Grove, UTAH",47:39.6,7:41/M
237,10K,Division:F 20-24,"Provo, UTAH",56:26.0,9:06/M
238,10K,Division:M 50-54,"Pleasant Grove, UTAH",1:04:22.3,10:23/M
239,10K,Division:M 50-54,"Thornton, COLORADO",53:41.7,8:40/M
240,10K,Division:F 40-44,"Lehi, UTAH",47:28.2,7:39/M
241,10K,Division:F 45-49,"Springville, UTAH",1:05:46.7,10:37/M
242,10K,Division:M 13-15,"Springville, UTAH",44:56.3,7:15/M
243,10K,Division:M 40-44,"Salem, UTAH",47:47.3,7:42/M
244,5K,Division:F 45-49,"Visalia, CALIFORNIA",35:10.2,11:21/M
245,5K,Division:M 45-49,"Visalia, CALIFORNIA",35:10.7,11:21/M
246,10K,Division:M 35-39,"Pleasant Grove, UTAH",55:02.9,8:53/M
247,10K,Division:M 60-64,"Orem, UTAH",50:39.4,8:10/M
248,10K,Division:F 45-49,"Spanish Fork, UTAH",57:53.7,9:20/M
249,10K,Division:M 50-54,"Spanish Fork, UTAH",1:00:48.5,9:48/M
250,10K,Division:Top Fin,"Spanish Fork, UTAH",39:30.1,6:18/M
251,10K,Division:M 60-64,"Provo, UTAH",56:42.5,9:09/M
252,10K,Division:F 30-34,"Lehi, UTAH",59:41.6,9:38/M
255,5K,Division:F 55-59,"Draper, UTAH",25:25.7,8:12/M
256,10K,Division:F 30-34,"Lehi, UTAH",1:00:19.4,9:44/M
257,10K,Division:F 25-29,"Lehi, UTAH",57:28.7,9:16/M
258,10K,Division:F 30-34,"Lehi, UTAH",1:12:41.1,11:43/M
259,10K,Division:F 25-29,"Lindon, UTAH",1:06:46.3,10:46/M
260,5K,Division:F 40-44,"South Jordan, UTAH",24:02.9,7:45/M
261,10K,Division:M 45-49,"Gilbert, ARIZONA",51:02.3,8:14/M
262,10K,Division:F 30-34,"Provo, UTAH",1:05:56.0,10:38/M
263,10K,Division:F 35-39,"Provo, UTAH",1:05:56.2,10:38/M
264,10K,Division:M 35-39,"San Francisco, CALIFORNIA",1:06:05.8,10:40/M
265,10K,Division:M 25-29,"Springville, UTAH",1:11:23.4,11:31/M
266,10K,Division:F 25-29,"Springville, UTAH",1:11:23.6,11:31/M
