race,state,gun_min,chip_min,pace_min,gender,age
5k,UT,39.833333333333336,37.96666666666667,12.25,M,24.5
10k,UT,62.016666666666666,61.9,9.983333333333333,F,24.5
5k,UT,39.516666666666666,39.166666666666664,12.633333333333333,M,54.5
5k,UT,26.85,26.55,8.566666666666666,M,44.5
5k,UT,43.2,41.85,13.5,F,54.5
5k,UT,39.833333333333336,38.06666666666667,12.283333333333333,F,34.5
5k,UT,34.21666666666667,33.9,10.933333333333334,F,24.5
5k,UT,40.6,40.11666666666667,12.933333333333334,M,54.5
5k,UT,40.6,40.083333333333336,12.933333333333334,F,44.5
5k,UT,64.68333333333334,62.55,20.183333333333334,F,24.5
5k,UT,39.233333333333334,37.333333333333336,12.05,M,17.0
5k,UT,39.516666666666666,39.18333333333333,12.633333333333333,M,24.5
5k,UT,30.2,30.05,9.7,M,44.5
5k,UT,30.2,30.066666666666666,9.7,M,12.0
5k,UT,26.8,26.416666666666668,8.516666666666667,M,34.5
5k,UT,33.81666666666667,33.5,10.8,F,34.5
5k,UT,54.483333333333334,54.15,17.466666666666665,F,54.5
5k,UT,37.833333333333336,37.45,12.083333333333334,F,12.0
5k,UT,51.61666666666667,51.233333333333334,16.533333333333335,F,5.0
5k,UT,37.833333333333336,37.45,12.083333333333334,F,34.5
10k,UT,56.86666666666667,56.516666666666666,9.116666666666667,M,24.5
5k,CA,47.983333333333334,47.68333333333333,15.383333333333333,M,54.5
5k,CA,54.483333333333334,54.21666666666667,17.483333333333334,F,54.5
5k,UT,54.43333333333333,54.166666666666664,17.466666666666665,M,24.5
5k,UT,24.0,23.766666666666666,7.666666666666667,M,54.5
5k,UT,32.56666666666667,31.9,10.283333333333333,F,24.5
10k,ID,77.08333333333333,76.58333333333333,12.35,F,24.5
5k,UT,29.016666666666666,28.35,9.15,F,24.5
5k,ID,43.06666666666667,42.81666666666667,13.816666666666666,F,54.5
10k,ID,77.08333333333333,76.58333333333333,12.35,F,17.0
10k,ID,51.03333333333333,50.55,8.15,F,24.5
10k,UT,50.78333333333333,50.43333333333333,8.133333333333333,M,24.5
5k,UT,32.56666666666667,31.883333333333333,10.283333333333333,M,24.5
5k,UT,29.95,29.166666666666668,9.416666666666666,M,24.5
5k,UT,30.133333333333333,29.333333333333332,9.466666666666667,F,54.5
5k,UT,31.55,31.366666666666667,10.116666666666667,M,34.5
5k,UT,45.45,44.68333333333333,14.416666666666666,F,24.5
5k,UT,45.45,44.65,14.4,M,24.5
10k,UT,67.36666666666666,67.2,10.833333333333334,M,34.5
5k,UT,53.96666666666667,53.03333333333333,17.1,F,34.5
5k,UT,54.0,53.0,17.1,F,54.5
5k,UT,53.96666666666667,52.983333333333334,17.083333333333332,F,44.5
5k,UT,33.65,32.516666666666666,10.483333333333333,M,12.0
5k,UT,28.933333333333334,27.8,8.966666666666667,M,12.0
5k,UT,32.5,31.416666666666668,10.133333333333333,F,5.0
5k,UT,31.683333333333334,30.533333333333335,9.85,F,34.5
5k,UT,25.75,24.65,7.95,M,34.5
