Country Name,Country Code,Year,population,co2emissions,fertility,life_expectancy,internet_usage,gdp,Region,IncomeGroup
Aruba,ABW,1960,54608.0,,4.82,64.152,,,Latin America & Caribbean,High income
Afghanistan,AFG,1960,8622466.0,,7.282,32.535,,62.3693745050559,South Asia,Low income
Angola,AGO,1960,5357195.0,,6.708,38.211,,,Sub-Saharan Africa,Lower middle income
Albania,ALB,1960,1608800.0,,6.455,54.439,,,Europe & Central Asia,Upper middle income
Andorra,AND,1960,9443.0,,,,,,Europe & Central Asia,High income
United Arab Emirates,ARE,1960,133426.0,,6.718,48.811,,,Middle East & North Africa,High income
Argentina,ARG,1960,20349744.0,,3.075,63.978,,,Latin America & Caribbean,Upper middle income
Armenia,ARM,1960,1904148.0,,4.786,61.431,,,Europe & Central Asia,Upper middle income
American Samoa,ASM,1960,20085.0,,,,,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,1960,55342.0,,4.602,61.55,,,Latin America & Caribbean,High income
Australia,AUS,1960,10276477.0,,3.453,70.8170731707317,,1810.51024859857,East Asia & Pacific,High income
Austria,AUT,1960,7047539.0,,2.69,68.5856097560976,,935.460426850415,Europe & Central Asia,High income
Azerbaijan,AZE,1960,3894500.0,,5.878,55.837,,,Europe & Central Asia,Upper middle income
Burundi,BDI,1960,2746628.0,,7.003,43.024,,71.3602242458753,Sub-Saharan Africa,Low income
Belgium,BEL,1960,9153489.0,,2.54,69.7019512195122,,1273.69165910289,Europe & Central Asia,High income
Benin,BEN,1960,2512284.0,,6.282,38.181,,90.0358316802599,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,1960,4783259.0,,6.248,35.872,,69.0831956138814,Sub-Saharan Africa,Low income
Bangladesh,BGD,1960,50396429.0,,6.784,44.74,,84.8253338246518,South Asia,Lower middle income
Bulgaria,BGR,1960,7867374.0,,2.31,69.2475609756098,,,Europe & Central Asia,Upper middle income
Bahrain,BHR,1960,160691.0,,7.152,50.33,,,Middle East & North Africa,High income
"Bahamas, The",BHS,1960,114500.0,,4.818,62.896,,1483.00368182207,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1960,3262539.0,,3.907,61.037,,,Europe & Central Asia,Upper middle income
Belarus,BLR,1960,8198000.0,,2.67,69.2546097560976,,,Europe & Central Asia,Upper middle income
Belize,BLZ,1960,91403.0,,6.5,58.163,,307.122179383923,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1960,44400.0,,,,,1902.40211884937,North America,High income
Bolivia,BOL,1960,3707515.0,,6.358,43.1,,100.843655007569,Latin America & Caribbean,Lower middle income
Brazil,BRA,1960,73092515.0,,6.061,52.66,,232.998762450445,Latin America & Caribbean,Upper middle income
Barbados,BRB,1960,232550.0,,4.333,64.564,,,Latin America & Caribbean,High income
